Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Open Interest,Expiration Date,52 Week Range,asset_type,50 Day Average,200 Day Average,3-Mo Return,YTD Return,Market Cap,PE Ratio (TTM)
HEM23.CME,"Lean Hogs Futures,Jun-2023",88.10,-0.08,-0.09%,"18,757",,"95,890",2023-06-15,,Futures,,,,,,
F*6A.CME,"Australian Dollar Futures,Jun-2",0.6693,-0.0005,-0.08%,"9,693",7.085M,"155,175",2023-06-15,,Futures,,,,,,
F*6S.CME,"Swiss Franc Futures,Jun-2023",1.1133,-0.0011,-0.10%,"2,419",1.28M,"37,566",2023-06-15,,Futures,,,,,,
HEZ23.CME,"Lean Hogs Futures,Dec-2023",78.30,-0.07,-0.10%,"1,284",,"16,771",2023-12-17,,Futures,,,,,,
F*M6A.CME,"Micro AUD/USD Futures,Jun-2023",0.6692,-0.0006,-0.09%,"3,235","615,293","6,565",2023-06-15,,Futures,,,,,,
6A=F,"Australian Dollar Futures,Jun-2",0.6693,-0.0005,-0.08%,"9,693","29,418","155,175",2023-06-15,,Futures,,,,,,
M6AM23.CME,"Micro AUD/USD Futures,Jun-2023",0.6692,-0.0006,-0.09%,"3,235",,"6,565",2023-06-15,,Futures,,,,,,
M6A=F,"Micro AUD/USD Futures,Jun-2023",0.6692,-0.0006,-0.09%,"3,235","13,832","6,565",2023-06-15,,Futures,,,,,,
6M=F,"Mexican Peso Futures,Jun-2023",0.0541,-0.0,-0.07%,"3,788","20,614","260,247",2023-06-15,,Futures,,,,,,
6MM23.CME,"Mexican Peso Futures,Jun-2023",0.0541,-0.0,-0.07%,"3,788",,"260,247",2023-06-15,,Futures,,,,,,
F*MNQ.CME,Micro E-mini Nasdaq-100 Index F,"13,149.75",-21.0,-0.16%,"48,451",16.744M,"68,740",2023-06-15,,Futures,,,,,,
MNQ=F,Micro E-mini Nasdaq-100 Index F,"13,149.75",-21.0,-0.16%,"48,451",1.049M,"68,740",2023-06-15,,Futures,,,,,,
ESM23.CME,E-Mini S&P 500 Jun 23,"4,124.75",-7.25,-0.18%,"33,091",,2.216M,2023-06-15,,Futures,,,,,,
NQ=F,Nasdaq 100 Jun 23,"13,149.00",-21.75,-0.17%,"24,126","617,586","232,570",2023-06-15,,Futures,,,,,,
MNQM23.CME,Micro E-mini Nasdaq-100 Index F,"13,149.75",-21.0,-0.16%,"48,451",,"68,740",2023-06-15,,Futures,,,,,,
NQM23.CME,Nasdaq 100 Jun 23,"13,149.00",-21.75,-0.17%,"24,126",,"232,570",2023-06-15,,Futures,,,,,,
F*NQ.CME,Nasdaq 100 Jun 23,"13,149.00",-21.75,-0.17%,"24,126",9.478M,"232,570",2023-06-15,,Futures,,,,,,
F*M6E.CME,"Micro EUR/USD Futures,Jun-2023",1.0960,-0.0015,-0.14%,"3,111",1.563M,"10,245",2023-06-15,,Futures,,,,,,
ES=F,E-Mini S&P 500 Jun 23,"4,124.75",-7.25,-0.18%,"33,091",1.774M,2.216M,2023-06-15,,Futures,,,,,,
MESM23.CME,MICRO E-MINI S&P 500 INDEX FUTU,"4,124.75",-7.25,-0.18%,"30,329",,"155,060",2023-06-15,,Futures,,,,,,
F*MES.CME,MICRO E-MINI S&P 500 INDEX FUTU,"4,124.75",-7.25,-0.18%,"30,329",19.198M,"155,060",2023-06-15,,Futures,,,,,,
MES=F,MICRO E-MINI S&P 500 INDEX FUTU,"4,124.75",-7.25,-0.18%,"30,329",1.151M,"155,060",2023-06-15,,Futures,,,,,,
QQQ,Invesco QQQ Trust,318.05,2.13,+0.67%,46.916M,,,,,ETF,302.85,291.51,,,,
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,47.98,0.03,+0.06%,1.507M,,,,,ETF,47.21,48.18,,,,
VCSH,Vanguard Short-Term Corporate Bond Index Fund,76.39,-0.07,-0.09%,5.522M,,,,,ETF,75.71,75.59,,,,
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund,80.75,-0.03,-0.04%,3.448M,,,,,ETF,79.2,78.83,,,,
IEF,iShares 7-10 Year Treasury Bond ETF,100.48,0.03,+0.03%,4.262M,,,,,ETF,97.65,98.57,,,,
MBB,iShares MBS ETF,95.49,-0.25,-0.26%,1.28M,,,,,ETF,94.25,94.64,,,,
VGSH,Vanguard Short-Term Treasury Index Fund,58.63,-0.03,-0.05%,2.663M,,,,,ETF,58.08,58.16,,,,
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,50.61,-0.07,-0.14%,10.041M,,,,,ETF,50.2,50.08,,,,
DVY,iShares Select Dividend ETF,117.92,0.35,+0.30%,"327,865",,,,,ETF,119.94,119.58,,,,
VGIT,Vanguard Intermediate-Term Treasury Index Fund,60.53,0.01,+0.02%,1.474M,,,,,ETF,59.19,59.5,,,,
VMBS,Vanguard Mortgage-Backed Securities Index Fund,46.93,-0.11,-0.23%,"992,345",,,,,ETF,46.34,46.48,,,,
ESGU,iShares ESG Aware MSCI USA ETF,90.09,0.32,+0.36%,"529,345",,,,,ETF,89.03,87.4,,,,
VONG,Vanguard Russell 1000 Growth Index Fund,62.49,0.38,+0.61%,"569,680",,,,,ETF,60.37,58.8,,,,
IUSV,iShares Core S&P U.S. Value ETF,73.31,0.23,+0.31%,"486,636",,,,,ETF,73.74,70.64,,,,
IUSG,iShares Core S&P U.S. Growth ETF,88.96,0.34,+0.38%,"357,990",,,,,ETF,86.22,86.3,,,,
IEI,iShares 3-7 Year Treasury Bond ETF,118.64,-0.01,-0.01%,1.963M,,,,,ETF,116.18,116.54,,,,
FTCS,First Trust Capital Strength ETF,73.13,0.12,+0.16%,"615,963",,,,,ETF,73.12,73.01,,,,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,62.33,0.2,+0.32%,1.007M,,,,,ETF,61.6,60.03,,,,
SMH,VanEck Semiconductor ETF,252.4,-0.76,-0.30%,3.724M,,,,,ETF,247.02,220.62,,,,
RDVY,First Trust Rising Dividend Achievers ETF,44.33,-0.01,-0.02%,"603,027",,,,,ETF,45.9,44.11,,,,
SOXX,iShares Semiconductor ETF,422.92,-2.19,-0.52%,"620,087",,,,,ETF,420.46,378.06,,,,
ESGD,iShares ESG Aware MSCI EAFE ETF,72.27,0.28,+0.39%,"257,632",,,,,ETF,70.52,65.25,,,,
VYMI,Vanguard International High Dividend Yield Fund,62.73,0.26,+0.42%,"262,469",,,,,ETF,62.35,59.21,,,,
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,14.45,-0.05,-0.34%,2.347M,,,,,ETF,14.26,16.13,,,,
VONE,Vanguard Russell 1000 Index Fund,185.81,0.66,+0.36%,"41,394",,,,,ETF,183.45,179.47,,,,
CIBR,First Trust NASDAQ Cybersecurity ETF,42.0,0.16,+0.38%,"348,618",,,,,ETF,41.43,40.97,,,,
LMBS,First Trust Low Duration Opportunities ETF,48.11,-0.06,-0.12%,1.078M,,,,,ETF,47.88,47.82,,,,
ONEQ,Fidelity Nasdaq Composite Index ETF,47.42,0.32,+0.68%,"233,018",,,,,ETF,45.98,44.8,,,,
EMXC,iShares MSCI Emerging Markets ex China ETF,49.37,0.01,+0.02%,"467,607",,,,,ETF,49.19,48.55,,,,
FV,First Trust Dorsey Wright Focus 5 ETF,43.84,-0.16,-0.36%,"237,608",,,,,ETF,46.3,45.62,,,,
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,48.52,-0.07,-0.14%,"207,267",,,,,ETF,48.14,48.08,,,,
ANGL,VanEck Fallen Angel High Yield Bond ETF,27.82,0.11,+0.40%,2.341M,,,,,ETF,27.56,27.37,,,,
FTSL,First Trust Senior Loan Fund,45.22,-0.07,-0.15%,1.09M,,,,,ETF,45.37,45.09,,,,
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,160.11,0.46,+0.29%,"19,243",,,,,ETF,168.55,163.3,,,,
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,60.84,-0.03,-0.05%,"460,343",,,,,ETF,61.97,63.87,,,,
PHO,Invesco Water Resources ETF,51.57,-0.03,-0.06%,"43,106",,,,,ETF,52.92,50.93,,,,
FALN,iShares Fallen Angels USD Bond ETF,25.11,0.08,+0.32%,1.326M,,,,,ETF,25.04,24.89,,,,
PEY,Invesco High Yield Equity Dividend Achievers ETF,19.87,0.0,0.00%,"320,601",,,,,ETF,20.35,20.54,,,,
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,98.75,0.01,+0.01%,"175,228",,,,,ETF,97.41,92.79,,,,
UITB,VictoryShares USAA Core Intermediate-Term Bond ETF,47.11,0.02,+0.04%,"34,604",,,,,ETF,46.3,46.27,,,,
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,25.77,-0.02,-0.09%,"237,844",,,,,ETF,27.71,26.29,,,,
PID,Invesco International Dividend Achievers ETF,18.05,0.06,+0.33%,"656,628",,,,,ETF,17.57,17.07,,,,
PKW,Invesco BuyBack Achievers ETF,84.22,-0.36,-0.43%,"23,122",,,,,ETF,87.12,84.18,,,,
FTXL,First Trust Nasdaq Semiconductor ETF,61.68,-0.12,-0.19%,"69,332",,,,,ETF,61.91,56.78,,,,
FNX,First Trust Mid Cap Core AlphaDEX Fund,87.49,-0.14,-0.16%,"58,076",,,,,ETF,92.46,89.71,,,,
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,24.14,-0.04,-0.17%,"143,157",,,,,ETF,23.92,23.87,,,,
FYX,First Trust Small Cap Core AlphaDEX Fund,78.52,0.1,+0.13%,"20,835",,,,,ETF,83.44,81.23,,,,
PTNQ,Pacer Trendpilot 100 ETF,54.48,0.39,+0.72%,"19,808",,,,,ETF,51.96,51.3,,,,
PLW,Invesco 1-30 Laddered Treasury ETF,30.5,0.04,+0.13%,"38,159",,,,,ETF,29.52,29.8,,,,
QQQE,Direxion NASDAQ-100 Equal Weighted Index Shares,71.1,0.0,0.00%,"52,684",,,,,ETF,70.08,66.82,,,,
DWAS,Invesco DWA SmallCap Momentum ETF,70.85,-0.05,-0.07%,"54,735",,,,,ETF,75.24,74.09,,,,
VRIG,Invesco Variable Rate Investment Grade ETF,24.77,0.01,+0.04%,"163,518",,,,,ETF,24.86,24.74,,,,
IMCV,iShares Morningstar Mid-Cap Value ETF,61.28,0.01,+0.02%,"9,740",,,,,ETF,63.64,62.46,,,,
USTB,VictoryShares USAA Core Short-Term Bond ETF,49.16,-0.04,-0.08%,"21,883",,,,,ETF,49.0,48.84,,,,
BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,22.43,0.07,+0.31%,"251,045",,,,,ETF,22.37,22.33,,,,
SDG,iShares MSCI Global Impact ETF,79.18,0.64,+0.81%,"19,880",,,,,ETF,79.05,78.46,,,,
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,51.12,-0.05,-0.10%,"33,799",,,,,ETF,54.14,53.01,,,,
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,57.84,0.06,+0.11%,"23,459",,,,,ETF,58.7,58.66,,,,
KBWP,Invesco KBW Property & Casualty Insurance ETF,84.04,0.35,+0.42%,"11,888",,,,,ETF,86.65,82.68,,,,
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,44.74,-0.35,-0.78%,"56,483",,,,,ETF,48.36,44.12,,,,
PSCT,Invesco S&P SmallCap Information Technology ETF,126.16,-0.62,-0.49%,739,,,,,ETF,130.7,124.22,,,,
FTXN,First Trust Nasdaq Oil & Gas ETF,27.47,-0.46,-1.65%,"162,565",,,,,ETF,27.42,27.16,,,,
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,37.13,0.13,+0.35%,"35,133",,,,,ETF,38.17,36.27,,,,
TUR,iShares MSCI Turkey ETF,33.18,0.18,+0.55%,"161,910",,,,,ETF,34.0,28.44,,,,
PTF,Invesco DWA Technology Momentum ETF,124.61,-0.76,-0.61%,"4,786",,,,,ETF,125.22,119.29,,,,
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,47.61,-0.06,-0.13%,"6,552",,,,,ETF,47.05,46.9,,,,
VSDA,VictoryShares Dividend Accelerator ETF,44.59,-0.16,-0.36%,"6,487",,,,,ETF,45.05,44.06,,,,
EWJV,iShares MSCI Japan Value ETF,25.55,-0.07,-0.27%,"2,647",,,,,ETF,25.4,24.07,,,,
PSC,Principal U.S. Small-Cap Multi-Factor ETF,38.95,-0.03,-0.08%,"1,911",,,,,ETF,41.33,40.31,,,,
FYT,First Trust Small Cap Value AlphaDEX Fund,44.39,-0.07,-0.17%,"11,469",,,,,ETF,48.1,46.45,,,,
PTH,Invesco DWA Healthcare Momentum ETF,112.16,0.94,+0.85%,"2,434",,,,,ETF,115.61,121.51,,,,
IUS,Invesco RAFI Strategic US ETF,38.35,0.02,+0.05%,"14,395",,,,,ETF,37.85,36.96,,,,
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,20.46,0.09,+0.44%,"41,240",,,,,ETF,20.78,20.74,,,,
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,81.65,-0.08,-0.10%,"16,052",,,,,ETF,80.86,77.24,,,,
RTH,VanEck Retail ETF,163.08,-0.02,-0.01%,"2,544",,,,,ETF,161.91,163.36,,,,
DALI,First Trust Dorsey Wright DALI 1 ETF,24.94,0.09,+0.38%,"21,139",,,,,ETF,24.91,25.0,,,,
PRN,Invesco DWA Industrials Momentum ETF,89.48,-0.52,-0.58%,"1,901",,,,,ETF,93.99,89.1,,,,
FCAL,First Trust California Municipal High Income ETF,49.72,0.19,+0.38%,"10,188",,,,,ETF,49.1,48.55,,,,
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,38.2,0.06,+0.16%,"109,524",,,,,ETF,39.7,38.39,,,,
NFTY,First Trust India NIFTY 50 Equal Weight ETF,42.68,0.37,+0.87%,"6,351",,,,,ETF,42.49,43.96,,,,
IPKW,Invesco International BuyBack Achievers ETF,34.15,0.07,+0.22%,"4,174",,,,,ETF,34.82,32.85,,,,
FLN,First Trust Latin America AlphaDEX Fund,16.94,-0.12,-0.70%,"7,969",,,,,ETF,17.33,17.05,,,,
BLCN,Siren Nasdaq NexGen Economy ETF,21.07,0.04,+0.19%,"8,011",,,,,ETF,21.51,23.62,,,,
PSCI,Invesco S&P SmallCap Industrials ETF,90.27,-0.31,-0.34%,"6,160",,,,,ETF,96.29,89.86,,,,
PSCC,Invesco S&P SmallCap Consumer Staples ETF,108.46,-0.07,-0.07%,"3,451",,,,,ETF,108.32,104.19,,,,
ISDX,Invesco RAFI Strategic Developed ex-US ETF,26.54,0.07,+0.26%,"147,443",,,,,ETF,28.17,26.8,,,,
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,62.57,-0.03,-0.06%,"1,317",,,,,ETF,62.52,61.3,,,,
IUSS,Invesco RAFI Strategic US Small Company ETF,33.58,0.01,+0.03%,"6,749",,,,,ETF,35.57,34.22,,,,
PSET,Principal Quality ETF,51.77,0.01,+0.02%,"1,499",,,,,ETF,51.78,50.06,,,,
BSDE,Invesco BulletShares (R) 2024 Emerging Markets Debt ETF,23.95,-0.01,-0.04%,"3,650",,,,,ETF,24.01,24.04,,,,
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,84.84,-0.8,-0.94%,"1,050",,,,,ETF,90.12,83.11,,,,
RNSC,First Trust Small Cap US Equity Select ETF,25.83,-0.13,-0.50%,959,,,,,ETF,27.31,26.34,,,,
CSA,VictoryShares US Small Cap Volatility Wtd ETF,57.73,-0.08,-0.14%,2,,,,,ETF,61.31,59.56,,,,
BSCE,Invesco BulletShares (R) 2023 USD Emerging Markets Debt ETF,23.38,0.03,+0.13%,"5,046",,,,,ETF,23.37,23.28,,,,
RNDV,First Trust US Equity Dividend Select ETF,28.08,-0.08,-0.28%,"3,409",,,,,ETF,28.58,28.09,,,,
SQLV,Royce Quant Small-Cap Quality Value ETF,34.4,-0.06,-0.17%,354,,,,,ETF,36.75,35.58,,,,
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,47.23,0.07,+0.15%,"1,179",,,,,ETF,47.41,45.29,,,,
BFIT,Global X Health & Wellness ETF,22.79,-0.11,-0.48%,"2,066",,,,,ETF,22.61,21.1,,,,
ISEM,Invesco RAFI Strategic Emerging Markets ETF,23.43,-0.01,-0.02%,845,,,,,ETF,23.9,22.6,,,,
MFLX,First Trust Flexible Municipal High Income ETF,16.76,-0.05,-0.30%,157,,,,,ETF,16.61,16.5,,,,
FXAIX,Fidelity 500 Index Fund,141.93,0.54,+0.38%,,,,,,Mutual Fund,140.06,137.05,5.87%,7.43%,,
