Symbol	Name	Price (Intraday)	Change	% Change	Volume	Avg Vol (3 month)	Market Cap	PE Ratio (TTM)	52 Week Range
BMY	Bristol-Myers Squibb Company	70.74	+1.49	+2.15%	9.137M	8.187M	148.787B	23.66
KO	The Coca-Cola Company	62.84	+0.04	+0.06%	9.583M	13.917M	271.865B	28.69
BSX	Boston Scientific Corporation	50.08	-0.66	-1.30%	8.554M	7.908M	71.981B	111.29
RLX	RLX Technology Inc.	2.8800	+0.0700	+2.49%	9.614M	10.746M	4.458B	18.00
ET	Energy Transfer LP	12.51	-0.25	-1.96%	9.482M	13.432M	38.713B	8.94
M	Macy's, Inc.	18.48	+0.13	+0.71%	9.2M	9.921M	5.189B	4.41
ETRN	Equitrans Midstream Corporation	5.12	+0.18	+3.64%	9.462M	5.143M	2.224B	N/A
CS	Credit Suisse Group AG	0.8832	+0.0111	+1.27%	9.347M	47.02M	3.542B	N/A
CHWRF	China Tower Corporation Limited	0.1500	+0.0377	+33.57%	9.491M	227,736	30.102B	15.00
AMCR	Amcor plc	11.25	-0.06	-0.53%	8.335M	8.247M	16.715B	15.85
SIRI	Sirius XM Holdings Inc.	3.9900	+0.0300	+0.76%	9.33M	17.241M	15.523B	12.87
AFRM	Affirm Holdings, Inc.	10.57	+0.17	+1.63%	9.311M	19.121M	3.23B	N/A
TECK	Teck Resources Limited	43.97	+1.74	+4.12%	9.166M	4.513M	23.431B	7.74
PINS	Pinterest, Inc.	28.25	+0.92	+3.37%	8.972M	11.999M	19.779B	N/A
DISH	DISH Network Corporation	8.77	+0.24	+2.81%	9.192M	6.669M	4.658B	2.36
ROKU	Roku, Inc.	64.08	+2.81	+4.59%	9.17M	8.81M	9.689B	N/A
ORCL	Oracle Corporation	95.92	+1.03	+1.09%	8.887M	7.204M	258.965B	31.66
CLF	Cleveland-Cliffs Inc.	17.26	+0.34	+2.01%	8.929M	10.276M	9.189B	7.38
DEA	Easterly Government Properties, Inc.	14.10	+0.75	+5.62%	8.964M	1.036M	2.511B	41.47
BP	BP p.l.c.	39.51	-0.38	-0.95%	8.835M	10.205M	116.939B	N/A
JPM	JPMorgan Chase & Co.	127.47	-0.14	-0.11%	8.739M	13.524M	376.458B	10.56
S	SentinelOne, Inc.	16.65	+0.38	+2.34%	4.07M	5.943M	4.983B	N/A
ERIC	Telefonaktiebolaget LM Ericsson (publ)	5.88	+0.02	+0.34%	8.804M	10.094M	19.581B	10.89
CHPT	ChargePoint Holdings, Inc.	9.19	-0.15	-1.61%	8.525M	9.2M	3.221B	N/A
RUN	Sunrun Inc.	18.58	-0.43	-2.26%	8.526M	9.195M	4.189B	24.77
KDP	Keurig Dr Pepper Inc.	35.64	+0.24	+0.68%	8.512M	7.751M	50.126B	35.29
HLN	Haleon plc	8.97	+0.34	+3.94%	8.51M	5.09M	41.417B	30.93
NEM	Newmont Corporation	52.05	-0.02	-0.04%	8.117M	7.988M	41.354B	N/A
MRVL	Marvell Technology, Inc.	39.26	-0.83	-2.07%	8.402M	11.855M	33.642B	N/A
FITB	Fifth Third Bancorp	26.08	+0.31	+1.20%	8.396M	9.1M	17.762B	7.79
