Symbol	Underlying Symbol	Name	Strike	Expiration Date	Price (Intraday)	Change	% Change	Bid	Ask	Volume	Open Interest
IWM230421P00170000	IWM	IWM Apr 2023 170.000 put	170.00	2023-04-20	1.6400	-0.3200	-16.33%	1.62	1.64	10,233	183,235
VIX230419P00021000	^VIX	I:VIX Apr 2023 21.000 put	21.00	2023-04-18	1.9300	+0.2700	+16.27%	1.79	1.90	3,491	182,084
HYG230421P00074000	HYG	HYG Apr 2023 74.000 put	74.00	2023-04-20	0.3400	-0.1300	-27.66%	0.34	0.36	21,349	176,284
AMC230421C00010000	AMC	AMC Apr 2023 10.000 call	10.00	2023-04-20	0.0600	+0.0100	+20.00%	0.04	0.05	35,257	176,270
HYG230421P00070000	HYG	HYG Apr 2023 70.000 put	70.00	2023-04-20	0.0500	0.0000	0.00%	0.03	0.06	2,209	175,013
SPY230421P00360000	SPY	SPY Apr 2023 360.000 put	360.00	2023-04-20	0.1000	-0.0400	-28.57%	0.10	0.11	6,490	172,761
HYG230616P00069000	HYG	HYG Jun 2023 69.000 put	69.00	2023-06-15	0.2800	-0.0800	-22.22%	0.26	0.35	1,504	171,867
HYG230616P00070000	HYG	HYG Jun 2023 70.000 put	70.00	2023-06-15	0.3900	-0.1000	-20.41%	0.38	0.45	1,056	171,135
VIX230419C00035000	^VIX	I:VIX Apr 2023 35.000 call	35.00	2023-04-18	0.0700	-0.0200	-22.22%	0.06	0.10	148	168,592
SLV230915C00030000	SLV	SLV Sep 2023 30.000 call	30.00	2023-09-14	0.5700	-0.0400	-6.56%	0.57	0.58	72	164,417
GLD230616C00200000	GLD	GLD Jun 2023 200.000 call	200.00	2023-06-15	2.2400	-0.4300	-16.10%	2.24	2.27	850	163,855
VIX230719C00060000	^VIX	I:VIX Jul 2023 60.000 call	60.00	2023-07-18	0.4100	-0.0200	-4.65%	0.40	0.46	21	162,297
QQQ230915P00285000	QQQ	QQQ Sep 2023 285.000 put	285.00	2023-09-14	8.33	-0.59	-6.61%	8.34	8.41	206	161,256
SLV240119C00021000	SLV	SLV Jan 2024 21.000 call	21.00	2024-01-18	3.9000	0.0000	0.00%	3.85	3.90	409	160,350
AAL250117P00005000	AAL	AAL Jan 2025 5.000 put	5.00	2025-01-16	0.5200	0.0000	0.00%	0.48	0.52	10,505	156,995
TEVA230616P00009000	TEVA	TEVA Jun 2023 9.000 put	9.00	2023-06-15	0.4300	-0.0200	-4.44%	0.43	0.48	41	156,451
SPY230421P00370000	SPY	SPY Apr 2023 370.000 put	370.00	2023-04-20	0.1700	-0.0700	-29.17%	0.16	0.17	4,623	155,067
HYG230519P00068000	HYG	HYG May 2023 68.000 put	68.00	2023-05-18	0.1300	0.0000	0.00%	0.08	0.15	32,122	154,007
VIX230419P00018000	^VIX	I:VIX Apr 2023 18.000 put	18.00	2023-04-18	0.1600	+0.0200	+14.29%	0.13	0.18	24,020	153,458
EEM231215C00047000	EEM	EEM Dec 2023 47.000 call	47.00	2023-12-14	0.4000	0.0000	0.00%	0.25	0.47	5	153,297
AMC230616P00002000	AMC	AMC Jun 2023 2.000 put	2.00	2023-06-15	0.4100	-0.1000	-19.61%	0.40	0.41	3,615	152,993
IWM230616P00170000	IWM	IWM Jun 2023 170.000 put	170.00	2023-06-15	5.20	-0.24	-4.41%	5.17	5.20	4,390	149,888
XLF230421P00029000	XLF	XLF Apr 2023 29.000 put	29.00	2023-04-20	0.0700	0.0000	0.00%	0.06	0.07	11,743	147,633
EEM230616P00035000	EEM	EEM Jun 2023 35.000 put	35.00	2023-06-15	0.2300	-0.0400	-14.81%	0.16	0.29	31,650	147,436
AMC240119C00008000	AMC	AMC Jan 2024 8.000 call	8.00	2024-01-18	0.6200	+0.1800	+40.91%	0.54	0.62	401	146,344
CCL230616P00004000	CCL	CCL Jun 2023 4.000 put	4.00	2023-06-15	0.0400	0.0000	0.00%	0.03	0.04	15	145,291
HYG230616P00060000	HYG	HYG Jun 2023 60.000 put	60.00	2023-06-15	0.0900	0.0000	0.00%	0.03	0.09	500	144,830
AAL240119P00010000	AAL	AAL Jan 2024 10.000 put	10.00	2024-01-18	0.7400	-0.0500	-6.33%	0.72	0.78	21	144,605
NKLA230421P00002000	NKLA	NKLA Apr 2023 2.000 put	2.00	2023-04-20	0.8900	+0.0100	+1.14%	0.83	0.90	71	144,078
VIX230419P00020000	^VIX	I:VIX Apr 2023 20.000 put	20.00	2023-04-18	1.1400	+0.1900	+20.00%	1.05	1.15	9,339	143,143
HYG230519P00072000	HYG	HYG May 2023 72.000 put	72.00	2023-05-18	0.3600	-0.0700	-16.28%	0.34	0.45	2,866	142,515
LQD230421P00104000	LQD	LQD Apr 2023 104.000 put	104.00	2023-04-20	0.0100	-0.0200	-66.67%	0.01	0.05	71	140,989
INVZ240119P00005000	INVZ	INVZ Jan 2024 5.000 put	5.00	2024-01-18	2.0500	+0.0500	+2.50%	2.00	2.10	150	140,113
VIX230517C00024000	^VIX	I:VIX May 2023 24.000 call	24.00	2023-05-16	1.6600	-0.1500	-8.29%	1.60	1.69	37,519	139,665
EEM230421P00037000	EEM	EEM Apr 2023 37.000 put	37.00	2023-04-20	0.0500	-0.1300	-72.22%	0.03	0.05	51	138,820
VIX230419P00019000	^VIX	I:VIX Apr 2023 19.000 put	19.00	2023-04-18	0.5400	+0.0800	+17.39%	0.46	0.51	10,552	138,738
SPY230421P00390000	SPY	SPY Apr 2023 390.000 put	390.00	2023-04-20	0.7300	-0.3400	-31.78%	0.72	0.73	23,257	138,341
EEM230421C00040000	EEM	EEM Apr 2023 40.000 call	40.00	2023-04-20	0.2400	0.0000	0.00%	0.21	0.30	13,420	137,418
SLV240119C00037000	SLV	SLV Jan 2024 37.000 call	37.00	2024-01-18	0.5800	-0.0200	-3.33%	0.56	0.58	14	137,236
HYG230616P00075000	HYG	HYG Jun 2023 75.000 put	75.00	2023-06-15	1.6000	-0.3000	-15.79%	1.52	1.68	352	136,513
HYG230519P00073000	HYG	HYG May 2023 73.000 put	73.00	2023-05-18	0.5700	-0.1300	-18.57%	0.55	0.60	992	135,805
AMC230616P00003000	AMC	AMC Jun 2023 3.000 put	3.00	2023-06-15	0.9400	-0.2500	-21.01%	0.92	0.93	29,501	135,538
SLV240119C00042000	SLV	SLV Jan 2024 42.000 call	42.00	2024-01-18	0.3900	0.0000	0.00%	0.37	0.39	21	135,416
HYG230421P00068000	HYG	HYG Apr 2023 68.000 put	68.00	2023-04-20	0.0300	0.0000	0.00%	0.00	0.03	124	134,137
AMC230616P00006000	AMC	AMC Jun 2023 6.000 put	6.00	2023-06-15	3.3500	-0.5100	-13.21%	3.25	3.50	880	134,104
HYG230519P00070000	HYG	HYG May 2023 70.000 put	70.00	2023-05-18	0.2100	-0.0400	-16.00%	0.19	0.24	367	133,119
BBBY230421C00040000	BBBY	BBBY Apr 2023 40.000 call	40.00	2023-04-20	0.0100	0.0000	0.00%	0.00	0.01	100	130,501
VIX230419C00040000	^VIX	I:VIX Apr 2023 40.000 call	40.00	2023-04-18	0.0500	-0.0100	-16.67%	0.02	0.07	26,700	130,084
SLV240119P00021000	SLV	SLV Jan 2024 21.000 put	21.00	2024-01-18	1.4100	-0.0300	-2.08%	1.40	1.42	7	129,933
HYG230421C00076000	HYG	HYG Apr 2023 76.000 call	76.00	2023-04-20	0.1600	+0.0200	+14.29%	0.14	0.20	2,520	129,587
SPY230421P00380000	SPY	SPY Apr 2023 380.000 put	380.00	2023-04-20	0.3100	-0.1600	-34.04%	0.30	0.31	21,803	128,864
HYG230519C00076000	HYG	HYG May 2023 76.000 call	76.00	2023-05-18	0.4300	-0.0100	-2.27%	0.43	0.47	15,552	127,534
XLF230421P00031000	XLF	XLF Apr 2023 31.000 put	31.00	2023-04-20	0.2900	-0.0400	-12.12%	0.27	0.30	2,106	127,429
VIX230419C00024000	^VIX	I:VIX Apr 2023 24.000 call	24.00	2023-04-18	0.4600	-0.1300	-22.03%	0.43	0.49	13,478	127,387
AMC230421P00010000	AMC	AMC Apr 2023 10.000 put	10.00	2023-04-20	5.65	-1.60	-22.07%	5.60	5.75	31,660	126,654
EEM230519C00043000	EEM	EEM May 2023 43.000 call	43.00	2023-05-18	0.0600	-0.0100	-14.29%	0.02	0.08	1	126,544
EEM230915P00038000	EEM	EEM Sep 2023 38.000 put	38.00	2023-09-14	1.1200	0.0000	0.00%	1.21	1.46	2	126,296
HYG230616P00074000	HYG	HYG Jun 2023 74.000 put	74.00	2023-06-15	1.2400	-0.1300	-9.49%	1.19	1.27	1,133	125,976
EEM230616C00042000	EEM	EEM Jun 2023 42.000 call	42.00	2023-06-15	0.3000	-0.0100	-3.23%	0.27	0.36	103	125,501
EEM230421P00038000	EEM	EEM Apr 2023 38.000 put	38.00	2023-04-20	0.1200	-0.0500	-29.41%	0.08	0.13	39,277	124,294
AMC230519P00004000	AMC	AMC May 2023 4.000 put	4.00	2023-05-18	1.1500	-0.7900	-40.72%	1.15	1.17	33,384	123,930
IWM230421P00166000	IWM	IWM Apr 2023 166.000 put	166.00	2023-04-20	0.8200	-0.2300	-21.90%	0.81	0.83	1,254	123,852
BBBY250117P00001000	BBBY	BBBY Jan 2025 1.000 put	1.00	2025-01-16	0.8700	+0.0200	+2.35%	0.84	0.89	1	123,684
AMC230421P00003000	AMC	AMC Apr 2023 3.000 put	3.00	2023-04-20	0.0900	-0.5500	-85.94%	0.08	0.10	61,666	123,624
SPY230616P00370000	SPY	SPY Jun 2023 370.000 put	370.00	2023-06-15	3.2000	-0.3900	-10.86%	3.19	3.21	1,414	123,214
TEVA230616C00012000	TEVA	TEVA Jun 2023 12.000 call	12.00	2023-06-15	0.0600	0.0000	0.00%	0.06	0.07	471	122,515
AMC230519C00013000	AMC	AMC May 2023 13.000 call	13.00	2023-05-18	0.1200	+0.0100	+9.09%	0.09	0.12	26,013	121,825
MULN250117C00000500	MULN	MULN Jan 2025 0.500 call	0.50	2025-01-16	0.0800	0.0000	0.00%	0.07	0.08	3,085	121,490
SPY230421P00350000	SPY	SPY Apr 2023 350.000 put	350.00	2023-04-20	0.0800	-0.0200	-20.00%	0.07	0.08	9,959	121,248
GLD230519C00195000	GLD	GLD May 2023 195.000 call	195.00	2023-05-18	1.9800	-0.5000	-20.16%	1.97	2.01	521	120,479
VALE240119C00020000	VALE	VALE Jan 2024 20.000 call	20.00	2024-01-18	0.5200	-0.0200	-3.70%	0.49	0.50	143	120,438
AMC230519P00013000	AMC	AMC May 2023 13.000 put	13.00	2023-05-18	9.50	-1.05	-9.95%	9.40	9.70	29,005	120,224
SLV230915C00035000	SLV	SLV Sep 2023 35.000 call	35.00	2023-09-14	0.2900	0.0000	0.00%	0.27	0.28	200	120,191
LQD230421P00100000	LQD	LQD Apr 2023 100.000 put	100.00	2023-04-20	0.0300	+0.0200	+200.00%	0.00	0.03	28	118,971
EEM230519P00035000	EEM	EEM May 2023 35.000 put	35.00	2023-05-18	0.1000	0.0000	0.00%	0.06	0.09	1	118,859
XLE230616P00053000	XLE	XLE Jun 2023 53.000 put	53.00	2023-06-15	0.0300	0.0000	0.00%	0.03	0.07	211	118,660
IWM230616P00165000	IWM	IWM Jun 2023 165.000 put	165.00	2023-06-15	3.8400	-0.1900	-4.71%	3.77	3.81	1,825	118,572
IWM230519P00165000	IWM	IWM May 2023 165.000 put	165.00	2023-05-18	2.4000	-0.2600	-9.77%	2.38	2.41	405	118,433
F240119C00019350	F	F Jan 2024 19.350 call	19.35	2024-01-18	0.1700	-0.0100	-5.56%	0.16	0.17	59	118,102
XLE230616P00058000	XLE	XLE Jun 2023 58.000 put	58.00	2023-06-15	0.0800	-0.0100	-11.11%	0.08	0.13	57	116,982
ATVI240119P00065000	ATVI	ATVI Jan 2024 65.000 put	65.00	2024-01-18	1.2000	-0.1000	-7.69%	1.19	1.24	2,224	116,579
VIX230517C00032000	^VIX	I:VIX May 2023 32.000 call	32.00	2023-05-16	0.7300	-0.1100	-13.10%	0.74	0.81	28,605	116,019
